45.85 -122.5 basin centroid
Elevation: 400.0 m  Area: 210.0 km2

Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa)
1995 1 1 12 35377.2 0.144 106.36 1.07 1.47 -7.55 424.3
1995 1 2 12 35407.2 0.686 100.01 1.07 -2.31 -11.42 373.8
1995 1 3 12 35439.5 1.133 116.26 1.07 -2.18 -12.18 385.5
1995 1 4 12 35474.1 2.220 104.10 1.07 -2.54 -11.06 375.8
1995 1 5 12 35511.0 0.518 97.38 1.07 0.51 -8.42 472.7
1995 1 6 12 35550.1 1.087 122.19 1.07 -3.77 -12.40 343.6
1995 1 7 12 35591.5 1.661 87.89 1.07 -1.24 -10.24 452.0
1995 1 8 12 35635.2 1.758 83.23 1.07 -4.02 -12.58 289.0
1995 1 9 12 35681.2 1.400 95.84 1.07 0.38 -8.75 408.0
1995 1 10 12 35729.3 2.176 78.52 1.07 -0.77 -9.88 377.0
1995 1 11 12 35779.7 2.831 82.75 1.07 -2.84 -9.85 399.5
1995 1 12 12 35832.2 3.667 102.74 1.07 0.78 -8.80 441.3
1995 1 13 12 35887.0 0.872 107.76 1.07 -3.14 -9.25 492.0
1995 1 14 12 35943.9 0.716 103.48 1.07 -1.78 -11.46 373.6
1995 1 15 12 36003.0 2.790 115.58 1.07 -5.28 -14.55 334.5
1995 1 16 12 36064.1 2.795 101.63 1.07 -1.05 -10.66 362.3
1995 1 17 12 36127.5 3.768 80.80 1.07 -2.53 -11.44 361.8
1995 1 18 12 36192.9 0.750 121.13 1.07 -2.33 -13.65 347.4
1995 1 19 12 36260.3 2.256 109.36 1.07 -3.45 -11.26 329.3
1995 1 20 12 36329.9 0.987 121.76 1.07 -3.65 -12.91 307.4
1995 1 21 12 36401.5 0.454 121.40 1.07 -2.81 -11.16 379.2
1995 1 22 12 36475.1 1.809 128.99 1.07 -0.05 -7.27 449.7
1995 1 23 12 36550.6 1.053 100.21 1.07 -1.35 -10.37 399.0
1995 1 24 12 36628.2 2.940 96.46 1.07 -3.25 -11.54 318.6
